Job Name,Count
['g.-lai-tier'],1, proletaire
['g.-malade'],1, proletaire
"['g.-malades,']",1, proletaire
['galvanisentrue'],1, proletaire
['galvaniseur'],1, proletaire
['gar. de bureau'],1, proletaire
['garde champêtre'],1, proletaire
['garde malade'],1, proletaire
['garde'],1, proletaire
['garde-malade'],1, proletaire
"['garde-malades,']",1, proletaire
['garde-malades.'],1, proletaire
"['gare, de café']",1, proletaire
"['garç. de mag', 'maçon']",1, proletaire
['garçon boucher'],1, proletaire
['garçon de peine'],1, proletaire
['gendarme'],1, intermediaire
"['georges', 'représent']",1, proletaire
['gouv'],1, intermediaire
['gouvern'],1, intermediaire
['gouvernante'],1, intermediaire
"['gouvernante,']",1, intermediaire
['graphologue'],1, intermediaire
['graveur surbois'],1, proletaire
['greffier dujuge d’instruct'],1, élevé
['greffier dujuge d’instruction'],1, élevé
['greffier juge informateur'],1, élevé
['gvpsier-peintre et épicerie'],1, proletaire
['gvpsier-peintre'],1, proletaire
['gyps'],1, proletaire
"['gyps.-peintre,']",1, proletaire
['gyps.-peintre.monte'],1, proletaire
['gypsier-peintre'],1, proletaire
['gypsiers-peintres'],1, proletaire
['géomètre'],1, intermediaire
['géomètrebreveté'],1, intermediaire
['gér'],1, intermediaire
['gérances'],1, intermediaire
['gérant café ch.-de bourg'],1, intermediaire
['gérant dela société du gaz'],1, intermediaire
"['gérant,']",1, intermediaire
"['gérante', 'coopê']",1, intermediaire
"['hiltbrand emile,', 'épicier']",1, proletaire
"['hoirs de m.-f.', 'huis de chauffage']",1, commerce
['homme de lettres'],1, intermediaire
['huiles pour autos'],1, commerce
['huissier du tribunal'],1, intermediaire
['huissier'],1, intermediaire
['huissier-chef trib. fédéra'],1, intermediaire
['huissierde la direct'],1, intermediaire
['huissiermunicipal'],1, intermediaire
['héliographe'],1, proletaire
['héliograveur'],1, proletaire
['hôtelier'],1, proletaire
['iardinier'],1, proletaire
['in. de dessin'],1, intermediaire
['inan'],1, ???
['industriel'],1, ???
['inf'],1, intermediaire
['infirm'],1, intermediaire
['infirmier'],1, intermediaire
['infirmière'],1, intermediaire
"['ing.-conseil,']",1, intermediaire
['ingén. cff.'],1, élevé
['ingén.'],1, élevé
['ingénieur c. f.f.'],1, élevé
['ingénieur neocalor'],1, élevé
['ingénieurcantonal'],1, élevé
"['insp. assurances,']",1, intermediaire
['insp. scolaire'],1, intermediaire
"['inspect, assur']",1, intermediaire
"['inspect, forestier']",1, intermediaire
"['inspect. direct,des postes']",1, intermediaire
['inspecteur dubétail'],1, intermediaire
['inspecteur forestier'],1, intermediaire
['inst.'],1, élevé
['institutr'],1, élevé
['institutrice retraitée'],1, élevé
"['institutrice', 'sq.']",1, élevé
['instrum. dechirurgie'],1, élevé
"['intendant casernes,']",1, proletaire
['intendant de la caserne'],1, proletaire
['intendantdes casernes'],1, proletaire
['iristitutr'],1, élevé
['iust.it'],1,élevé
['jardi-dinier'],1, proletaire
['jardinier du cimetière de la pon'],1, proletaire
"['jardinier', 'moulin des (']",1, proletaire
['journhlière'],1, proletaire
['juge cantonal'],1, élevé
"['juge', 'cant']",1, élevé
['la manufacturelausannoise de biscuits'],1, commerce
['laborant..'],1, intermediaire
['lait'],1, ???
['lieut.-colonel-instructêur'],1, intermediaire
['lieutenant-colonel instructeur'],1, intermediaire
['limonadier'],1, proletaire
['limonadier.vue de la ponto:se 36'],1, proletaire
"['lingère', 'couturière']",1, proletaire
"['lingère', 'v. maria']",1, proletaire
['lingére'],1, proletaire
['lingêre'],1, proletaire
['linotypiste'],1, proletaire
['liquoriste'],1, intermediaire
['lithogr.'],1, intermediaire
['litogr.'],1, intermediaire
['liugère'],1, proletaire
['livreur. monte'],1, proletaire
"['louisa', 'épicerie']",1, proletaire
"['louise', 'ménagère']",1, proletaire
['m. charpentier et cafetier'],1, proletaire
['m. charretier'],1, proletaire
['m. cordonnier'],1, proletaire
['m. de danse'],1, intermediaire
['m. gypsier-peintre'],1, proletaire
['m. jardinier'],1, proletaire
['m. tailleur'],1, proletaire
['magasin'],1, commerce
"['magasin.-livreur,']",1, proletaire
['maitresse de piano'],1, intermediaire
['maitresse de.pension'],1, intermediaire
"['major', 'instructeur']",1, intermediaire
"['man', '.,']",1, proletaire
['man. t. l.'],1, proletaire
"['man.', 'sommelière']",1, proletaire
['manuf. trousseaux'],1, proletaire
['manœuv'],1, proletaire
"['manœuvre ,']",1, proletaire
['manœuvre.'],1, proletaire
['manœuvretrams'],1, proletaire
['maraîcher'],1, proletaire
['marbrier'],1, proletaire
"['march, decombutibles,']",1, proletaire
['marchand de combustible et liquoriste'],1, intermediaire
['marchand de vins'],1, proletaire
"['marchand forain', ', 17.']",1, proletaire
['marchandde légumes'],1, proletaire
['marchande'],1, proletaire
['marchandforain'],1, proletaire
"['margeur', 'v. beauval,']",1, proletaire
['marguer'],1, proletaire
"['maréchal', 'aven.druey 30. at']",1, intermediaire
['mathilde'],1, ???
"['maçon', 'v. sanssouci']",1, proletaire
['maître charpentier'],1, proletaire
['maître gymn.'],1, intermediaire
['maîtresse de pension'],1, intermediaire
"['md fripier,']",1, proletaire
"['md grainier,']",1, proletaire
['menuiserie'],1, proletaire
['menuiserie-ébéniste-rie'],1, proletaire
['menuisier-ébéniste'],1, proletaire
['menuisiers'],1, proletaire
['meublesd occasion'],1, commerce
['meun'],1, proletaire
['mineur'],1, proletaire
"['ministre', ', pension pourjeunes garçons']",1, intermediaire
['miroitier'],1,, proletaire
['missionnaire'],1, intermediaire
['modes'],1, ???
"['modiste', ', 2.']",1, proletaire
"['modiste', 'm. a.']",1, proletaire
['mon'],1, ???
"['mont, en chauff']",1, proletaire
"['mont, téléph']",1, proletaire
"['mont, électr']",1, proletaire
"['mont,']",1, proletaire
['monte caro'],1, proletaire
['monteur mécanicien'],1, proletaire
['monteur t. l.'],1, proletaire
['mouleur'],1, proletaire
['music'],1, intermediaire
['musicienne'],1, intermediaire
['mèli'],1, ???
['méc.'],1, intermediaire
"['méc.-chauffeur,']",1, intermediaire
['méc.-électr.'],1, intermediaire
"['mécan cff,']",1, intermediaire
"['mécan. c. f. f.,ch']",1, intermediaire
['mécan. cee.'],1, intermediaire
['mécan. chauff'],1, proletaire
"['mécan., tricot']",1, proletaire
"['mécan.-électricien,']",1, intermediaire
['mécan.-êlectr.'],1, intermediaire
['mécan.. cff'],1, intermediaire
